metodo,M,n,insert_ms,search_ms,collisions_insert,collisions_search,top1chain,top2chain,top3chain,gap_min,gap_max,gap_avg
Encadeamento,1000,100000,586,248,98993,5104066,137,134,130,0,0,
Encadeamento,1000,1000000,9020,2306,998497,500869166,1115,1091,1087,0,0,
Encadeamento,1000,10000000,237612,184237,9948842,49842258098,10280,10248,10211,0,0,
Encadeamento,10000,100000,100,60,89993,600196,23,22,22,0,0,
Encadeamento,10000,1000000,1265,1173,989497,50986644,143,136,135,0,0,
Encadeamento,10000,10000000,70124,62419,9939842,4993225140,1145,1120,1120,0,0,
Encadeamento,100000,100000,45,53,36930,150182,8,7,7,0,0,
Encadeamento,100000,1000000,659,694,899498,5997518,26,25,25,0,0,
Encadeamento,100000,10000000,16022,13981,9849842,508265003,148,144,144,0,0,
Linear,1000,100000,90,66,266769,32484,0,0,0,0,26,1.560
Linear,1000,1000000,567,444,2305339,475863,0,0,0,0,34,1.049
Linear,1000,10000000,5264,4833,22284055,7594360,0,0,0,0,23,0.646
Linear,10000,100000,49,53,219770,84295,0,0,0,0,16,0.600
Linear,10000,1000000,607,491,2618638,320405,0,0,0,0,38,1.561
Linear,10000,10000000,5385,4872,22993555,4626595,0,0,0,0,41,1.058
Linear,100000,100000,42,43,137523,49912,0,0,0,0,22,1.000
Linear,100000,1000000,477,511,2185306,831376,0,0,0,0,20,0.600
Linear,100000,10000000,5522,4761,25902110,3090404,0,0,0,0,43,1.572
Duplo,1000,100000,66,49,140570,26605,0,0,0,0,25,1.560
Duplo,1000,1000000,524,527,1381007,372234,0,0,0,0,21,1.049
Duplo,1000,10000000,5612,5250,12731168,5332815,0,0,0,0,17,0.646
Duplo,10000,100000,52,49,167866,137253,0,0,0,0,14,0.600
Duplo,10000,1000000,559,575,1418491,267500,0,0,0,0,31,1.561
Duplo,10000,10000000,6341,5040,12806786,3632807,0,0,0,0,24,1.058
Duplo,100000,100000,45,38,83305,38983,0,0,0,0,18,1.000
Duplo,100000,1000000,524,479,1271710,569586,0,0,0,0,15,0.600
Duplo,100000,10000000,5998,5016,13990288,2608675,0,0,0,0,34,1.572
Encadeamento,1000,100000,381,349,98993,5104066,137,134,130,0,0,
